content_id,text,platform,content_type,likes,shares,comments,impressions,unique_users_reached,posting_time,hashtags
viral_mega_001,"This simple morning routine made me 10x more productive! Here's exactly what I do every day 🌅 THREAD 👇 #Productivity #MorningRoutine #Success",twitter,text,156789,78394,23567,2100000,980000,2024-01-20T06:30:00,"#Productivity,#MorningRoutine,#Success"
viral_mega_002,"POV: You discover a hidden feature in an app you've used for years 🤯 Everyone needs to know this!",tiktok,video,234567,123456,45678,5600000,2800000,2024-01-19T15:45:00,"#Hidden,#Feature,#TechTips"
viral_mega_003,"BREAKING: This 22-year-old just solved a problem that scientists couldn't figure out for decades! 🧠⚡",twitter,text,345678,172839,67890,8900000,4200000,2024-01-18T11:20:00,"#Breakthrough,#Science,#Genius"
viral_mega_004,"Before vs After: What 30 days of this habit did to my life 📈 The transformation is INSANE!",instagram,image,123456,61728,34567,3400000,1700000,2024-01-17T20:15:00,"#Transformation,#30DayChallenge,#LifeChange"
viral_mega_005,"This grandma just went VIRAL for her reaction to modern technology! You have to see this 👵💻",youtube,video,456789,228395,89012,12000000,6000000,2024-01-16T14:30:00,"#Grandma,#Technology,#Wholesome"
viral_mega_006,"Plot twist: The 'impossible' math problem everyone's arguing about has a surprisingly simple solution 🤔➕",twitter,text,234567,117284,56789,6700000,3200000,2024-01-15T10:45:00,"#Math,#Problem,#Solution"
viral_mega_007,"This street artist created something so beautiful that the entire city stopped to watch 🎨✨",instagram,video,345678,172839,78901,9800000,4900000,2024-01-14T16:20:00,"#StreetArt,#Beautiful,#Art"
viral_mega_008,"URGENT: Everyone using [popular app] needs to check this setting RIGHT NOW! Your privacy depends on it 🚨",tiktok,text,567890,283945,123456,15600000,7800000,2024-01-13T19:30:00,"#Privacy,#Security,#Important"
viral_mega_009,"This teacher's creative way of explaining complex topics is making education fun again! 📚🎉",youtube,video,234567,117284,67890,5400000,2700000,2024-01-12T13:15:00,"#Education,#Teaching,#Creative"
viral_mega_010,"The most satisfying 60 seconds you'll watch today. I can't stop replaying this! 😌✨",instagram,video,456789,228395,89012,11200000,5600000,2024-01-11T21:45:00,"#Satisfying,#Relaxing,#ASMR"
viral_mega_011,"This food hack will change how you cook forever! Why didn't anyone tell me this before? 🍳🤯",tiktok,video,345678,172839,78901,8900000,4450000,2024-01-10T18:00:00,"#FoodHack,#Cooking,#LifeChanger"
viral_mega_012,"EXPOSED: The real reason why [popular trend] is actually harmful. The truth will shock you! ⚠️",twitter,text,567890,283945,123456,18900000,9450000,2024-01-09T12:30:00,"#Exposed,#Truth,#Awareness"
viral_mega_013,"This tiny change in my daily routine added 3 productive hours to my day! Here's how 🕒⚡",linkedin,text,123456,61728,34567,4200000,2100000,2024-01-08T08:45:00,"#Productivity,#TimeManagement,#Efficiency"
viral_mega_014,"The most wholesome thing you'll see today: Random strangers helping each other ❤️ Faith in humanity restored!",facebook,video,789012,394506,156789,21000000,10500000,2024-01-07T17:30:00,"#Wholesome,#Kindness,#Humanity"
viral_mega_015,"This optical illusion is breaking the internet! Can you see what 90% of people miss? 👀🌀",instagram,image,678901,339451,123456,16800000,8400000,2024-01-06T22:15:00,"#OpticalIllusion,#Mind,#Challenge"
