content_id,text,platform,content_type,likes,shares,comments,impressions,saves,clicks,total_views,completed_views,posting_time,hashtags,mentions,metadata
train_001,"Excited to share our new product update! We've been working on this for months 🚀",twitter,text,156,23,45,2100,,,,,2024-02-15T10:30:00,"#ProductUpdate,#Excited",,"{'follower_count': 5600, 'account_age_days': 450, 'previous_viral_count': 2}"
train_002,"Beautiful morning view from the office! ☀️ Ready to tackle the day",instagram,image,89,12,7,1200,34,,,2024-02-14T08:15:00,"#Morning,#Office,#Motivation",,"{'follower_count': 2300, 'account_age_days': 180, 'previous_viral_count': 0}"
train_003,"Quick tip: Use keyboard shortcuts to boost your productivity by 30%! Here are my favorites:",youtube,video,234,67,89,3400,,,1800,1245,2024-02-13T16:45:00,"#Productivity,#Tips,#Shortcuts",,"{'follower_count': 12000, 'account_age_days': 720, 'previous_viral_count': 5}"
train_004,"Just finished reading an amazing book on leadership. Highly recommend! 📚",linkedin,text,45,8,12,890,,,,,2024-02-12T19:20:00,"#Leadership,#BookRecommendation",,"{'follower_count': 3400, 'account_age_days': 300, 'previous_viral_count': 1}"
train_005,"This coding technique changed my workflow completely! Who else has tried this?",twitter,text,178,34,56,2800,,,,,2024-02-11T14:30:00,"#Coding,#Programming,#Workflow",@dev_community,"{'follower_count': 8900, 'account_age_days': 600, 'previous_viral_count': 3}"
train_006,"Behind the scenes of our photo shoot today 📸 The team did amazing work!",instagram,image,123,29,18,1890,45,,,2024-02-10T17:00:00,"#BehindTheScenes,#PhotoShoot,#Team",,"{'follower_count': 4500, 'account_age_days': 250, 'previous_viral_count': 1}"
train_007,"Grateful for all the support on our latest project! You all are amazing ❤️",facebook,text,67,15,23,1100,,,,,2024-02-09T21:15:00,"#Grateful,#Support,#Community",,"{'follower_count': 2100, 'account_age_days': 400, 'previous_viral_count': 0}"
train_008,"Tutorial: How to create stunning visuals in 5 minutes! Step-by-step guide:",tiktok,video,345,78,123,4500,,,2100,1680,2024-02-08T13:45:00,"#Tutorial,#Design,#QuickTips",,"{'follower_count': 15600, 'account_age_days': 200, 'previous_viral_count': 7}"
train_009,"Thoughtful discussion on the future of remote work. What are your predictions?",linkedin,text,89,12,34,1500,,,,,2024-02-07T11:30:00,"#RemoteWork,#Future,#Discussion",,"{'follower_count': 6700, 'account_age_days': 500, 'previous_viral_count': 2}"
train_010,"Friday motivation: Remember that small progress is still progress! 💪",instagram,text,234,45,67,3200,78,,,2024-02-06T09:00:00,"#FridayMotivation,#Progress,#Mindset",,"{'follower_count': 7800, 'account_age_days': 350, 'previous_viral_count': 4}"
train_011,"Debugging tip that saved me hours today! Hope it helps someone else too 🐛",twitter,text,156,28,42,2400,,,,,2024-02-05T15:20:00,"#Debugging,#Programming,#Tips",@coders,"{'follower_count': 9200, 'account_age_days': 550, 'previous_viral_count': 6}"
train_012,"Weekend project completed! Built a simple app to track daily habits 📱",instagram,image,78,14,19,1300,23,,,2024-02-04T18:30:00,"#WeekendProject,#App,#Habits",,"{'follower_count': 3600, 'account_age_days': 280, 'previous_viral_count': 1}"
train_013,"Insightful webinar on digital marketing trends. Key takeaways in the comments!",youtube,video,167,45,89,2900,,,1600,1120,2024-02-03T12:00:00,"#DigitalMarketing,#Webinar,#Trends",,"{'follower_count': 11400, 'account_age_days': 650, 'previous_viral_count': 8}"
train_014,"Team lunch at the new restaurant downtown! Great food and even better company 🍽️",facebook,image,45,9,15,670,,,,,2024-02-02T13:45:00,"#TeamLunch,#Restaurant,#Team",,"{'follower_count': 1800, 'account_age_days': 320, 'previous_viral_count': 0}"
train_015,"Quick update on our Q1 goals - we're ahead of schedule! 📈",linkedin,text,123,19,28,1800,,,,,2024-02-01T16:15:00,"#Q1Goals,#Progress,#Business",,"{'follower_count': 5400, 'account_age_days': 480, 'previous_viral_count': 3}"
train_016,"Sunday reflection: What's one thing you learned this week? Share below! 🤔",twitter,text,89,16,34,1400,,,,,2024-01-31T20:00:00,"#SundayReflection,#Learning,#Growth",,"{'follower_count': 4200, 'account_age_days': 380, 'previous_viral_count': 2}"
train_017,"Amazing sunset captured during our evening walk! Nature is incredible 🌅",instagram,image,234,56,29,3100,67,,,2024-01-30T19:30:00,"#Sunset,#Nature,#Photography",,"{'follower_count': 6800, 'account_age_days': 420, 'previous_viral_count': 5}"
train_018,"New blog post is live! Sharing lessons learned from our recent project failure",medium,text,67,12,23,980,,,,,2024-01-29T10:45:00,"#BlogPost,#Lessons,#Failure",,"{'follower_count': 2800, 'account_age_days': 200, 'previous_viral_count': 1}"
train_019,"Coffee shop work session! Sometimes a change of scenery boosts creativity ☕",instagram,image,145,23,18,2200,34,,,2024-01-28T14:20:00,"#CoffeeShop,#WorkSession,#Creativity",,"{'follower_count': 4900, 'account_age_days': 290, 'previous_viral_count': 2}"
train_020,"Excited to announce our partnership with @amazing_company! Big things coming 🎉",twitter,text,289,67,78,4200,,,,,2024-01-27T11:00:00,"#Partnership,#Announcement,#Excited",@amazing_company,"{'follower_count': 12500, 'account_age_days': 700, 'previous_viral_count': 9}"
