content_id,text,platform,content_type,likes,shares,comments,impressions,posting_time,hashtags,mentions
sample_001,"Just discovered this amazing AI tool that can predict viral content! 🚀 Mind blown! #AI #Tech #Innovation",twitter,text,1234,456,89,15670,2024-01-15T14:30:00,"#AI,#Tech,#Innovation",
sample_002,"Behind the scenes of our latest product launch. The team worked so hard! 💪",instagram,image,567,123,45,8900,2024-01-14T18:45:00,,
sample_003,"BREAKING: This simple life hack will change everything you know about productivity!",twitter,text,2345,890,234,34500,2024-01-13T09:15:00,"#LifeHack,#Productivity",
sample_004,"Beautiful sunset from our office today 🌅 #WorkLife #Inspiration",instagram,image,890,156,67,12400,2024-01-12T19:30:00,"#WorkLife,#Inspiration",
sample_005,"Quick tutorial on how to use our new feature. Hope this helps! ✨",youtube,video,234,78,123,5600,2024-01-11T16:20:00,"#Tutorial,#Help",@support
sample_006,"OMG you won't believe what just happened at the conference! Thread below 👇",twitter,text,3456,1234,567,45600,2024-01-10T12:00:00,"#Conference,#Thread",
sample_007,"Throwback to our amazing team retreat last month 📸 Miss everyone!",linkedin,image,123,34,28,2100,2024-01-09T10:45:00,"#TeamRetreat,#Memories",
sample_008,"This AI breakthrough is going to revolutionize everything! Share if you agree 🤖",facebook,text,789,234,89,11200,2024-01-08T15:30:00,"#AI,#Future",
sample_009,"Step-by-step guide to mastering social media marketing in 2024",youtube,video,456,178,234,7800,2024-01-07T11:15:00,"#SocialMedia,#Marketing",
sample_010,"Can't believe we hit 1M followers! Thank you all for the support! 🎉",instagram,text,5678,2345,890,78900,2024-01-06T20:00:00,"#Milestone,#Gratitude",
viral_001,"VIRAL ALERT: This 30-second trick will save you 2 hours every day! 🤯 Thread below 👇 #LifeHack #ProductivityHack #Viral",twitter,text,45678,23456,5678,890000,2024-01-05T13:45:00,"#LifeHack,#ProductivityHack,#Viral",
viral_002,"EVERYONE needs to see this! The most beautiful timelapse of our city you'll ever watch 🌃✨",instagram,video,78901,34567,12345,1200000,2024-01-04T19:30:00,"#Timelapse,#Beautiful,#City",
viral_003,"Breaking: Scientists just discovered something incredible about the human brain! 🧠🔬",twitter,text,56789,28901,8901,950000,2024-01-03T08:30:00,"#Science,#Brain,#Discovery",
viral_004,"This dog's reaction to seeing snow for the first time is EVERYTHING! 🐕❄️",tiktok,video,123456,67890,23456,2100000,2024-01-02T16:15:00,"#Dog,#Snow,#Cute",
viral_005,"Plot twist: What we thought we knew about success is completely wrong! Mind-blowing research 📊",linkedin,text,12345,6789,3456,450000,2024-01-01T11:00:00,"#Success,#Research,#Mindset"
